date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-03-26,109.4731,110.5483,108.0867,109.6429,2856404,2856404,-0.273517,-0.249,109.6253,"Mar 26, 15",0.6062328507242065
2015-03-27,109.4637,111.5009,109.426,111.3028,2608526,2608526,1.66,1.514,110.9728,"Mar 27, 15",0.6305498462516608
2015-03-30,115.3679,116.726,113.6797,114.1229,5178532,5178532,2.8201,2.534,114.5035,"Mar 30, 15",0.6718633947105882
2015-03-31,113.9343,114.0569,111.5009,111.5669,4573089,4573089,-2.556,-2.24,112.5271,"Mar 31, 15",0.634418825418358
2015-04-01,112.727,112.727,109.9164,110.7747,4826179,4826179,-0.792256,-0.71,110.5988,"Apr 1, 15",0.622813352885766
2015-04-02,110.9162,111.6518,110.2276,110.6898,2497135,2497135,-0.084882,-0.077,110.8091,"Apr 2, 15",0.6215695954785242
2015-04-06,109.426,111.7839,109.3599,111.0105,2544720,2544720,0.320673,0.29,111.0784,"Apr 6, 15",0.6262677462500492
2015-04-07,112.661,113.0185,110.6049,110.6804,2528472,2528472,-0.330108,-0.297,111.2815,"Apr 7, 15",0.6214318885335528
2015-04-08,111.0859,112.0791,110.7935,111.4726,2626960,2626960,0.792259,0.716,111.4431,"Apr 8, 15",0.6330373610661446
2015-04-09,111.1331,112.0102,110.9162,111.8122,2247228,2247228,0.339537,0.305,111.5809,"Apr 9, 15",0.6380123906951123
2015-04-10,111.8122,112.329,111.2651,112.2366,2232569,2232569,0.424425,0.38,112.0286,"Apr 10, 15",0.6442297127638221
2015-04-13,114.1229,114.4153,112.3592,112.5855,3961024,3961024,0.348969,0.311,113.2268,"Apr 13, 15",0.6493409843702616
2015-04-14,112.5573,113.3495,111.7839,113.1043,3208819,3208819,0.518741,0.461,112.8145,"Apr 14, 15",0.6569412357586845
2015-04-15,113.5381,113.8777,109.9258,110.6521,7343997,7343997,-2.4522,-2.168,110.9484,"Apr 15, 15",0.6210173027311389
2015-04-16,115.0001,115.3679,113.6702,114.6888,7068037,7068037,4.0367,3.648,114.4172,"Apr 16, 15",0.680153645791368
2015-04-17,114.1229,114.1701,111.0483,111.9631,4389960,4389960,-2.7257,-2.377,112.3723,"Apr 17, 15",0.6402230266521535
2015-04-20,113.0383,113.491,111.3594,111.8405,4651035,4651035,-0.12261,-0.11,112.27,"Apr 20, 15",0.6384269764975263
2015-04-21,112.2366,112.8308,112.0102,112.5007,3379795,3379795,0.660215,0.59,112.5269,"Apr 21, 15",0.6480986919305193
2015-04-22,112.7459,113.1232,110.5106,111.1142,3846694,3846694,-1.3865,-1.232,111.3238,"Apr 22, 15",0.627786917547234
2015-04-23,110.803,111.8405,110.3125,111.5386,3244285,3244285,0.424425,0.382,111.2277,"Apr 23, 15",0.634004239615944
2015-04-24,111.5575,112.3215,111.3123,111.9442,3139223,3139223,0.40556,0.364,111.9389,"Apr 24, 15",0.6399461477947109
2015-04-27,112.4063,112.6233,109.4731,109.6334,5174300,5174300,-2.3108,-2.064,110.2231,"Apr 27, 15",0.6060936788117354
2015-04-28,110.2465,111.0482,107.7848,110.9067,4144846,4144846,1.2733,1.161,109.9753,"Apr 28, 15",0.6247471099853649
2015-04-29,109.6146,110.6521,105.6722,107.1529,7122620,7122620,-3.7538,-3.385,107.1427,"Apr 29, 15",0.5697551599817757
2015-04-30,107.0775,107.832,104.8044,105.0685,6705565,6705565,-2.0844,-1.945,105.926,"Apr 30, 15",0.5392193774181119
2015-05-01,105.9079,107.2001,105.3892,106.7662,5805060,5805060,1.6977,1.616,106.66,"May 1, 15",0.5640901306604511
2015-05-04,107.2378,108.3932,107.002,108.0489,3531451,3531451,1.2827,1.201,107.9116,"May 4, 15",0.582881268779052
2015-05-05,107.4642,107.7848,106.587,106.9266,3960443,3960443,-1.1224,-1.039,107.1515,"May 5, 15",0.5664399385299634
2015-05-06,107.5208,107.9828,106.2569,107.0397,3369777,3369777,0.113179,0.106,106.7713,"May 6, 15",0.5680968167721197
