,Date,Close, Volume, Open, High, Low
2204,2018-11-28,180.94," 45,941,750.00 ",176.73,181.29,174.93
2205,2018-11-29,179.55," 41,523,580.00 ",182.66,182.8,177.7
2206,2018-11-30,178.58," 39,424,260.00 ",180.29,180.33,177.03
2207,2018-12-03,184.82," 40,537,700.00 ",184.46,184.94,181.21
2208,2018-12-04,176.69," 41,141,250.00 ",180.95,182.39,176.27
2209,2018-12-06,174.72," 42,704,910.00 ",171.76,174.78,170.42
2210,2018-12-07,168.49," 41,678,680.00 ",173.49,174.49,168.3
2211,2018-12-10,169.6," 61,759,000.00 ",165.0,170.09,163.33
2212,2018-12-11,168.63," 45,968,040.00 ",171.66,171.79,167.0
2213,2018-12-12,169.1," 35,474,680.00 ",170.4,171.92,169.02
2214,2018-12-13,170.95," 31,754,210.00 ",170.49,172.57,169.55
2215,2018-12-14,165.48," 40,620,360.00 ",169.0,169.08,165.28
2216,2018-12-17,163.94," 43,250,420.00 ",165.45,168.35,162.73
2217,2018-12-18,166.07," 33,753,490.00 ",165.38,167.53,164.39
2218,2018-12-19,160.89," 47,597,670.00 ",166.0,167.45,159.09
2219,2018-12-20,156.83," 64,398,230.00 ",160.4,162.11,155.3
2220,2018-12-21,150.73," 95,497,900.00 ",156.86,158.16,149.63
2221,2018-12-24,146.83," 37,169,230.00 ",148.15,151.55,146.59
2222,2018-12-26,157.17," 58,133,850.00 ",148.3,157.23,146.72
2223,2018-12-27,156.15," 51,608,850.00 ",155.84,156.77,150.07
2224,2018-12-28,156.23," 41,740,600.00 ",157.5,158.52,154.55
2225,2018-12-31,157.74," 34,499,390.00 ",158.53,159.36,156.48
2226,2019-01-02,157.92," 35,637,070.00 ",154.89,158.85,154.23
2227,2019-01-03,142.19," 91,106,840.00 ",143.98,145.72,142.0
2228,2019-01-04,148.26," 57,423,650.00 ",144.53,148.55,143.8
2229,2019-01-07,147.93," 54,571,440.00 ",148.7,148.83,145.9
2230,2019-01-08,150.75," 40,622,910.00 ",149.56,151.82,148.52
2231,2019-01-09,153.31," 45,034,370.00 ",151.29,154.53,149.63
